"시점",생활물가지수,식품,식품 이외,전월세,전·월세포함 생활물가지수
"2022. 01",104.85,106.87,103.53,102.79,104.37
"2022. 02",105.91,108.11,104.47,102.93,105.19
"2022. 03",106.63,108.72,105.26,103.01,105.73
"2022. 04",107.32,109.42,105.95,103.09,106.28
"2022. 05",108.05,110.81,106.29,103.22,106.84
"2022. 06",108.82,111.25,107.24,103.25,107.42
"2022. 07",109.37,112.95,107.15,103.35,107.86
"2022. 08",109.36,113.99,106.54,103.49,107.89
"2022. 09",109.94,114.81,106.97,103.60,108.34
"2022. 10",110.23,113.85,107.98,103.70,108.58
"2022. 11",109.94,112.55,108.26,103.84,108.40
"2022. 12",110.23,113.20,108.34,103.91,108.63
"2023. 01",111.32,114.44,109.35,103.99,109.46
"2023. 02",111.94,115.04,109.99,103.98,109.91
"2023. 03",112.15,115.75,109.90,103.92,110.05
"2023. 04",112.27,115.92,110.00,103.90,110.14
"2023. 05",112.94,116.66,110.63,103.85,110.62
"2023. 06",113.07,117.06,110.59,103.81,110.70
"2023. 07",112.94,117.86,109.95,103.80,110.61
"2023. 08",114.64,119.79,111.51,103.79,111.86
"2023. 09",115.63,120.72,112.51,103.81,112.59
"2023. 10",116.14,121.46,112.91,103.85,112.98
"2023. 11",115.30,119.76,112.56,103.93,112.39
"2023. 12",115.26,119.99,112.38,103.94,112.35
"2024. 01",115.88,120.86,112.83,103.96,112.82
"2024. 02",116.43,121.84,113.15,104.05,113.25
"2024. 03",116.36,122.30,112.77,104.13,113.22
"2024. 04",116.75,121.98,113.57,104.18,113.52
"2024. 05",116.63,121.80,113.48,104.28,113.46
"2024. 06",116.31,121.10,113.38,104.33,113.23
"2024. 07",116.45,122.28,112.92,104.37,113.35
"2024. 08",117.14,123.17,113.51,104.51,113.90
"2024. 09",117.51,123.52,113.89,104.56,114.19
"2024. 10",117.62,123.54,114.04,104.71,114.30
"2024. 11",117.18,121.99,114.24,104.82,114.00
"2024. 12",117.39,122.48,114.29,104.88,114.18
