district,dong_code,dong_name,floor,contract_date,rent_type,area_m2,deposit,rent,built_year,building_type,year,interest_rate,cpi,contract_year,building_age
성북구,13900,석관동,1.0,2022-01-01,월세,19.0,1000,48,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,13600,하월곡동,1.0,2022-01-01,월세,17.0,1000,50,2016.0,단독다가구,2022,1.0,104.85,2022,6.0
성북구,12500,안암동5가,1.0,2022-01-01,월세,19.8,1000,40,1989.0,단독다가구,2022,1.0,104.85,2022,33.0
성북구,10200,성북동1가,2.0,2022-01-01,월세,40.42,6000,40,2002.0,연립다세대,2022,1.0,104.85,2022,20.0
성북구,10100,성북동,1.0,2022-01-01,월세,108.89,5000,30,1977.0,연립다세대,2022,1.0,104.85,2022,45.0
성북구,11300,삼선동3가,1.0,2022-01-01,월세,53.2,500,31,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,12000,동선동5가,3.0,2022-01-01,월세,49.93,1000,80,1992.0,연립다세대,2022,1.0,104.85,2022,30.0
성북구,10800,동소문동5가,9.0,2022-01-01,월세,16.67,1000,87,2017.0,아파트,2022,1.0,104.85,2022,5.0
성북구,10800,동소문동5가,6.0,2022-01-01,월세,16.67,5000,68,2017.0,아파트,2022,1.0,104.85,2022,5.0
성북구,11800,동선동3가,3.0,2022-01-02,월세,40.78,2000,95,2001.0,연립다세대,2022,1.0,104.85,2022,21.0
성북구,11100,삼선동1가,1.0,2022-01-02,월세,15.77,6000,5,1995.0,단독다가구,2022,1.0,104.85,2022,27.0
성북구,13900,석관동,1.0,2022-01-02,월세,18.0,2000,40,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,11600,동선동1가,1.0,2022-01-02,월세,18.0,1000,48,2010.0,단독다가구,2022,1.0,104.85,2022,12.0
성북구,12500,안암동5가,1.0,2022-01-02,월세,15.0,300,35,1998.0,단독다가구,2022,1.0,104.85,2022,24.0
성북구,11800,동선동3가,1.0,2022-01-02,월세,20.0,1000,50,2003.0,단독다가구,2022,1.0,104.85,2022,19.0
성북구,13300,정릉동,1.0,2022-01-02,월세,16.5,3000,30,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,11200,삼선동2가,1.0,2022-01-02,월세,20.0,1000,35,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,13100,보문동2가,1.0,2022-01-02,월세,30.0,1000,45,2000.0,단독다가구,2022,1.0,104.85,2022,22.0
성북구,13800,장위동,1.0,2022-01-02,월세,30.15,100,31,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,12200,안암동2가,1.0,2022-01-02,월세,20.5,1000,45,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,12200,안암동2가,4.0,2022-01-02,월세,14.67,1000,60,2018.0,연립다세대,2022,1.0,104.85,2022,4.0
성북구,13300,정릉동,1.0,2022-01-02,월세,25.54,1000,50,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
